Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerCorr TerrCorr TCBougGrav TCBougAn
-111.579430 42.857298 452662.406044 4745130.980610 1852.408000 3188.347000 18.278468 0.863028 -34.335056 11.8941 0.573 3193.372557 -14.9514
-111.579429 42.857320 452662.517135 4745133.412201 1852.408000 3188.331000 18.280453 0.863028 -34.335056 11.8941 0.573 3193.354572 -14.9694
-111.579428 42.857342 452662.629206 4745135.843673 1852.408000 3188.316000 18.282438 0.863028 -34.335056 11.8941 0.573 3193.337587 -14.9864
-111.579426 42.857364 452662.742012 4745138.275141 1852.408000 3188.300000 18.284423 0.863028 -34.335056 11.8941 0.573 3193.319602 -15.0044
-111.579425 42.857386 452662.855308 4745140.706605 1852.408000 3188.285000 18.286408 0.863028 -34.335056 11.8941 0.573 3193.302617 -15.0214
-111.579424 42.857407 452662.968684 4745143.137958 1852.408000 3188.270000 18.288303 0.863028 -34.335056 11.8941 0.573 3193.285722 -15.0383
-111.579423 42.857429 452663.082061 4745145.569311 1852.408000 3188.256000 18.290288 0.863028 -34.335056 11.8941 0.573 3193.269737 -15.0543
-111.579422 42.857451 452663.194947 4745148.000556 1852.408000 3188.242000 18.292273 0.863028 -34.335056 11.8941 0.573 3193.253752 -15.0702
-111.579421 42.857473 452663.307179 4745150.431805 1852.408000 3188.229000 18.294258 0.863028 -34.335056 11.8941 0.573 3193.238767 -15.0852
-111.579419 42.857495 452663.418511 4745152.862950 1852.408000 3188.216000 18.296243 0.863028 -34.335056 11.8941 0.573 3193.223782 -15.1002
-111.579418 42.857517 452663.528618 4745155.294103 1852.408000 3188.204000 18.298228 0.863028 -34.335056 11.8941 0.573 3193.209797 -15.1142
-111.579417 42.857539 452663.637254 4745157.725155 1852.408000 3188.193000 18.300213 0.863028 -34.335056 11.8941 0.573 3193.196811 -15.1272
-111.579416 42.857561 452663.744174 4745160.156219 1852.408000 3188.182000 18.302198 0.863028 -34.335056 11.8941 0.573 3193.183826 -15.1402
-111.579415 42.857583 452663.849051 4745162.587186 1852.408000 3188.173000 18.304183 0.863028 -34.335056 11.8941 0.573 3193.172841 -15.1512
-111.579414 42.857605 452663.951721 4745165.018058 1852.408000 3188.164000 18.306168 0.863028 -34.335056 11.8941 0.573 3193.161856 -15.1621
-111.579413 42.857626 452664.051940 4745167.448946 1852.408000 3188.156000 18.308063 0.863028 -34.335056 11.8941 0.573 3193.151962 -15.172
-111.579412 42.857648 452664.149462 4745169.879741 1852.408000 3188.149000 18.310048 0.863028 -34.335056 11.8941 0.573 3193.142976 -15.181
-111.579411 42.857670 452664.244125 4745172.310557 1852.408000 3188.143000 18.312033 0.863028 -34.335056 11.8941 0.573 3193.134991 -15.189
-111.579410 42.857692 452664.335683 4745174.741282 1852.408000 3188.138000 18.314018 0.863028 -34.335056 11.8941 0.573 3193.128006 -15.196
-111.579409 42.857714 452664.423972 4745177.172030 1852.408000 3188.134000 18.316003 0.863028 -34.335056 11.8941 0.573 3193.122021 -15.202
